participant,version,group,country,eye_tracked,vision,DELE ,age,parents_lang,education,gender,handed,AoA_L2,age_fluent_L2,other_lang,mo_ES_country,l1_school,l2_school,expos_baby,expos_child,expos_adult,percent_l1_week,percent_l2_week,sports,sport_length,sport_pro,music,music_length,music_pro,drive,drive_length,WM_set,WM_word_order
IES25,1,ies,uk,right,normal,26,23,yes,undergrad,female,right,19,22,no,48,"E., M., H., U.",no,"English, Persian","English, Persian, French, German","English, Persian, French, Spanish, Catalan",80,20,"gym, tennis, rugby, marcial arts, volleyball","gy 15, tn 10, rg 8, ma 9,  vl 3",no,piano,19,no,yes,5 (no conduce),5,
IES26,2,ies,uk,right,normal,33,35,yes,undergrad,female,right,30,34,no,34,"E., M., H., U.",no,English,English,"English, French, Spanish, Catalan",85,15,"biking, tennis, trampolining, swimming","bk 2, tn 8, tr 5, sw 10",no,"sing, piano, guitar, harmonica, saxo","sg 19, pn 23, gt desde 21, hr 10, sx 9",yes,yes,10,7,
IES27,3,ies,uk,right,normal,32,24,yes,undergrad,female,right,23,24,no,14,"E., M., H., U.",no,English,English,"English, Spanish, German",90,10,"running, netball","rn 2, nt 10",no,piano,5,no,yes,6 (no conduce),5,
IES28,4,ies,us,right,normal,27,24,yes,undergrad,female,right,22,24,"Catalan, Japonés",24,"E., M., H., U.",no,English,English,"English, Japanese, Spanish, Catalan, French, Mandarin",90,10,quidditch,4,no,sing,4,no,yes,7 (no conduce),7,
IES29,1,ies,uk,right,normal,26,33,yes,master,female,right,29,32,no,48,"E., M., H., U.",no,English,"English, French","English, Spanish, Catalan, French",85,15,"running, swimming, yoga, cycling","rn 7, sw 25, yg 10, cy .5",no,guitar,3,no,yes,15,5,
IES30,2,ies,uk,right,normal,27,29,yes,undergrad,male,right,26,28,French,48,"E., M., H., U.",no,English,"English, French","English, French, German, Spanish, Catalan",90,10,"soccer, cricket, golf","sc 15, cr 3, gf 5",no,"guitar, bass guitar","gt 15, bs 10",no,yes,9 (no conduce),11,
IES31,3,ies,uk,right,normal,33,33,yes,undergrad,male,right,27,28,no,72,"E., M., H., U.",no,English,English,"English, Spanish, Catalan",80,20,"soccer, cycling, swimming, hockey","sc 30, cy 30, sw 11, hk 5",no,no,no,no,yes,15,5,
IES32,4,ies,uk,right,glasses,31,30,yes,master,male,right,13,25,no,72,"E., M., H., U.",no,English,English,"English, Spanish, Catalan",80,20,"soccer, cricket, rugby, hockey, esgrima","sc 10, cr 10, rg 2, hk 1, es 1",no,guitar,2,no,no,no,10,
IES33,1,ies,us,left,glasses,36,30,yes,master,male,right,12,23,Norwegian,54,"E., M., H., U.",no,English,English,"English, Spanish, Norwegian, Catalan",50,50,"golf, cycling, soccer, baseball, football","gf 20, cy 25, sc 15, bs 12, fb 4",no,"clarinet, oboe","cl 2, ob 7",no,yes,15 (no conduce),11,
AES01,3,aes,au,right,normal,42,38,yes,undegrad,male,right,27,30,Portuguese,120,"E., M., H., U.",no,english,english,"english, spanish, portuguese",90,10,"swimming, trekking, martial arts","30, trk 30, am 7",no,"guitar, bass, drums",25,yes,yes,17 (no conduce desde hace 5 años),11,53
AES02,4,aes,us,right,contacts,44,23,yes,undergrad,female,right,14,21,no,24,"E., M., H., U.",U.,english,english,"english, spanish",70,30,tennis,12,no,piano,10,no,yes,7 (no conduce desde hace 2 años),9,49
AES03,1,aes,uk,right,glasses,49,23,yes,undergrad,female,right,5,18,no,10,"E., M., H., U.",U.,english,"english, spanish","english, spanish, french",80,20,"gymnastics, climbing, ice skating","gym 5, cl 4, is 6",no,piano,10,no,yes,7 (no conduce),12,54
AES04,2,aes,us,right,contacts,48,25,yes,undergrad,female,right,19,20,no,12,"E., M., H., U.",no,english,"english, spanish","english, spanish",70,30,horse backriding,8,no,"flute, guitar",10,no,yes,6 (no conduce),12,54
AES05,3,aes,us,right,normal,42,22,yes,undergrad,female,right,13,19,no,8,"E., M., H., U.",U.,english,english,"english, spanish, arabic",50,50,no,no,no,"dance, violin","13, vl 11",yes,yes,5 (no conduce),11,53
AES06,4,aes,us,right,contacts,49,36,yes,master,female,right,19,21,no,86,"E., M., H., U.",U.,english,"english, russian","english, french, spanish",40,60,no,no,no,"dance, sing",33,no,yes,19 (no conduce),7,46
AES07,1,aes,us,right,normal,41,25,yes,undergrad,male,right,12,21,no,40,"E., M., H., U.",U.,english,english,"english, spanish",65,35,"soccer, baseball, athletics, football","5, bb 8, ath 5, ft 5",no,no,no,no,yes,9 (no conduce),11,52
AES08,2,aes,uk,right,normal,40,25,yes,undergrad,female,right,13,19,French,30,"E., M., H., U.",U.,english,"english, french","english, french, spanish",80,20,"basketball, swimming","bb 3, sw 6",no,"piano, guitar, violin, viola","piano 21, violin 17, guitar 15, viola 9",yes,yes,6 (no conduce),10,52
AES09,3,aes,uk,right,glasses,54,26,yes,undergrad,female,right,14,16,no,17,"E., M., H., U.",U.,english,english,"english, spanish",60,40,no,no,no,"dance, trumpet, flute","dn 5, ins 3",no,no,na,7,45
AES10,4,aes,us,right,normal,45,27,yes,master,male,right,14,18,Italian,36,"E., M., H., U.",U.,english,english,"english, spanish, italian",60,40,athletics,1,no,piano,2,no,yes,10 (no conduce),10,52
