,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ie01,2020/01/23 19:34:37,right,en,NA,haircut,3,1+1=0,0,0,1,0.927601109000534
1,ie01,2020/01/23 19:34:37,right,en,NA,"haircut, time",3,1+4=5,1,1,1,0.7839466599998559
2,ie01,2020/01/23 19:34:37,right,en,NA,"haircut, time, mug",3,1+4=6,0,0,1,0.8177556549999281
3,ie01,2020/01/23 19:34:37,right,en,NA,lizard,3,1+5=6,1,1,1,0.4735589499996422
4,ie01,2020/01/23 19:34:37,right,en,NA,"lizard, dad",3,10-2=8,1,1,1,0.7449580719985534
5,ie01,2020/01/23 19:34:37,right,en,NA,"lizard, dad, glider",3,10-3=7,1,1,1,1.1989681519989972
6,ie01,2020/01/23 19:34:37,right,en,NA,couch,3,10-3=8,0,0,1,0.9773977129989362
7,ie01,2020/01/23 19:34:37,right,en,NA,"couch, trench",3,11-1=10,1,1,1,0.5531957089988282
8,ie01,2020/01/23 19:34:37,right,en,NA,"couch, trench, atom",3,2+2=4,1,1,1,0.9886765070004913
9,ie01,2020/01/23 19:34:37,right,en,NA,spider,4,2+7=6,0,0,1,0.6828165629995055
10,ie01,2020/01/23 19:34:37,right,en,NA,"spider, mud",4,2+7=9,1,1,1,0.6376191920007841
11,ie01,2020/01/23 19:34:37,right,en,NA,"spider, mud, head",4,2+8=10,1,1,1,0.6313831779989414
12,ie01,2020/01/23 19:34:37,right,en,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,1.3707247499987716
13,ie01,2020/01/23 19:34:37,right,en,NA,queen,4,3-1=2,1,1,1,0.773989431998416
14,ie01,2020/01/23 19:34:37,right,en,NA,"queen, flower",4,3+2=5,1,1,1,0.07727123699987715
15,ie01,2020/01/23 19:34:37,right,en,NA,"queen, flower, barber",4,3+6=8,0,0,1,0.7160376419997192
16,ie01,2020/01/23 19:34:37,right,en,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,0.5135307040000043
17,ie01,2020/01/23 19:34:37,right,en,NA,book,4,4-3=2,0,0,1,1.4392509939989395
18,ie01,2020/01/23 19:34:37,right,en,NA,"book, beans",4,4+5=9,1,1,1,1.3011932219997107
19,ie01,2020/01/23 19:34:37,right,en,NA,"book, beans, chair",4,4+6=10,1,1,1,1.0759237410002243
20,ie01,2020/01/23 19:34:37,right,en,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,0.4260071579992655
21,ie01,2020/01/23 19:34:37,right,en,NA,shovel,5,5-1=4,1,1,1,0.9575533480001468
22,ie01,2020/01/23 19:34:37,right,en,NA,"shovel, port",5,5-2=3,1,1,1,1.360432661998857
23,ie01,2020/01/23 19:34:37,right,en,NA,"shovel, port, army",5,5+3=8,1,1,1,0.4987614580004447
24,ie01,2020/01/23 19:34:37,right,en,NA,"shovel, port, army, drill",5,5+3=9,0,0,1,0.5472722329996031
25,ie01,2020/01/23 19:34:37,right,en,NA,"shovel, port, army, drill, stone",5,5+8=15,0,0,1,0.14209549400038668
26,ie01,2020/01/23 19:34:37,right,en,NA,puma,5,6-4=2,1,1,1,0.5751957899992703
27,ie01,2020/01/23 19:34:37,right,en,NA,"puma, lamp",5,6-4=3,0,0,1,0.6216570790002152
28,ie01,2020/01/23 19:34:37,right,en,NA,"puma, lamp, farm",5,6+3=11,0,0,1,0.8341483229996811
