,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ae10,2020/01/26 12:12:07,right,en,NA,haircut,3,1+1=0,0,0,1,1.1562230290001025
1,ae10,2020/01/26 12:12:07,right,en,NA,"haircut, time",3,1+4=5,1,1,1,1.6757408129924443
2,ae10,2020/01/26 12:12:07,right,en,NA,"haircut, time, mug",3,1+4=6,0,0,1,1.6085082100034924
3,ae10,2020/01/26 12:12:07,right,en,NA,lizard,3,1+5=6,1,1,1,5.5961933030048385
4,ae10,2020/01/26 12:12:07,right,en,NA,"lizard, dad",3,10-2=8,1,1,1,6.632390543993097
5,ae10,2020/01/26 12:12:07,right,en,NA,"lizard, dad, glider",3,10-3=7,1,1,1,3.795198710009572
6,ae10,2020/01/26 12:12:07,right,en,NA,couch,3,10-3=8,0,0,1,1.021408168002381
7,ae10,2020/01/26 12:12:07,right,en,NA,"couch, trench",3,11-1=10,1,1,1,1.8852708600024926
8,ae10,2020/01/26 12:12:07,right,en,NA,"couch, trench, atom",3,2+2=4,1,1,1,2.1562772239994956
9,ae10,2020/01/26 12:12:07,right,en,NA,spider,4,2+7=6,0,0,1,4.181295699003385
10,ae10,2020/01/26 12:12:07,right,en,NA,"spider, mud",4,2+7=9,1,1,1,0.9666758499952266
11,ae10,2020/01/26 12:12:07,right,en,NA,"spider, mud, head",4,2+8=10,1,1,1,1.607785365995369
12,ae10,2020/01/26 12:12:07,right,en,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,3.698184496999602
13,ae10,2020/01/26 12:12:07,right,en,NA,queen,4,3-1=2,1,1,1,1.8669675450073555
14,ae10,2020/01/26 12:12:07,right,en,NA,"queen, flower",4,3+2=5,1,1,1,3.128410179997445
15,ae10,2020/01/26 12:12:07,right,en,NA,"queen, flower, barber",4,3+6=8,0,0,1,5.271522797993384
16,ae10,2020/01/26 12:12:07,right,en,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,0.5143421920074616
17,ae10,2020/01/26 12:12:07,right,en,NA,book,4,4-3=2,0,0,1,0.4661304010078311
18,ae10,2020/01/26 12:12:07,right,en,NA,"book, beans",4,4+5=9,1,0,0,8.99619543699373
19,ae10,2020/01/26 12:12:07,right,en,NA,"book, beans, chair",4,4+6=10,1,1,1,7.824894585995935
