,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ihs15,2020/11/19 14:09:44,right,es,NA,haircut,3,1+1=0,0,0,1,1.6659638920000361
1,ihs15,2020/11/19 14:09:44,right,es,NA,"haircut, time",3,1+4=5,1,1,1,1.4036124150002252
2,ihs15,2020/11/19 14:09:44,right,es,NA,"haircut, time, mug",3,1+4=6,0,0,1,1.0580071919998773
3,ihs15,2020/11/19 14:09:44,right,es,NA,lizard,3,1+5=6,1,1,1,1.8018535659998633
4,ihs15,2020/11/19 14:09:44,right,es,NA,"lizard, dad",3,10-2=8,1,0,0,7.325167092999891
5,ihs15,2020/11/19 14:09:44,right,es,NA,"lizard, dad, glider",3,10-3=7,1,0,0,2.9001972139999452
6,ihs15,2020/11/19 14:09:44,right,es,NA,couch,3,10-3=8,0,0,1,6.613140691000353
7,ihs15,2020/11/19 14:09:44,right,es,NA,"couch, trench",3,11-1=10,1,1,1,0.7310375600000043
8,ihs15,2020/11/19 14:09:44,right,es,NA,"couch, trench, atom",3,2+2=4,1,1,1,3.7409322099997553
9,ihs15,2020/11/19 14:09:44,right,es,NA,spider,4,2+7=6,0,0,1,2.5462282720000076
10,ihs15,2020/11/19 14:09:44,right,es,NA,"spider, mud",4,2+7=9,1,1,1,6.868534033999822
11,ihs15,2020/11/19 14:09:44,right,es,NA,"spider, mud, head",4,2+8=10,1,1,1,7.828907796000294
12,ihs15,2020/11/19 14:09:44,right,es,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,0.7650723209999342
13,ihs15,2020/11/19 14:09:44,right,es,NA,queen,4,3-1=2,1,1,1,10.676992246999816
14,ihs15,2020/11/19 14:09:44,right,es,NA,"queen, flower",4,3+2=5,1,0,0,6.9503585620000194
15,ihs15,2020/11/19 14:09:44,right,es,NA,"queen, flower, barber",4,3+6=8,0,0,1,6.483400645999609
16,ihs15,2020/11/19 14:09:44,right,es,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,6.952794633999929
17,ihs15,2020/11/19 14:09:44,right,es,NA,book,4,4-3=2,0,0,1,5.74509518900004
18,ihs15,2020/11/19 14:09:44,right,es,NA,"book, beans",4,4+5=9,1,1,1,2.050103197000226
19,ihs15,2020/11/19 14:09:44,right,es,NA,"book, beans, chair",4,4+6=10,1,1,1,2.5549266070001977
20,ihs15,2020/11/19 14:09:44,right,es,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,4.805106685000283
21,ihs15,2020/11/19 14:09:44,right,es,NA,shovel,5,5-1=4,1,1,1,3.641463165999994
22,ihs15,2020/11/19 14:09:44,right,es,NA,"shovel, port",5,5-2=3,1,1,1,9.832391645999905
