,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ihs12,2020/11/28 09:33:02,right,es,NA,haircut,3,1+1=0,0,1,0,2.5118171659996733
1,ihs12,2020/11/28 09:33:02,right,es,NA,"haircut, time",3,1+4=5,1,1,1,1.671605173003627
2,ihs12,2020/11/28 09:33:02,right,es,NA,"haircut, time, mug",3,1+4=6,0,0,1,1.4369067679799628
3,ihs12,2020/11/28 09:33:02,right,es,NA,lizard,3,1+5=6,1,1,1,0.9373597610101569
4,ihs12,2020/11/28 09:33:02,right,es,NA,"lizard, dad",3,10-2=8,1,0,0,1.1999211699876469
5,ihs12,2020/11/28 09:33:02,right,es,NA,"lizard, dad, glider",3,10-3=7,1,1,1,1.2919484409794677
6,ihs12,2020/11/28 09:33:02,right,es,NA,couch,3,10-3=8,0,0,1,1.7688255470129661
7,ihs12,2020/11/28 09:33:02,right,es,NA,"couch, trench",3,11-1=10,1,1,1,1.162292503984645
8,ihs12,2020/11/28 09:33:02,right,es,NA,"couch, trench, atom",3,2+2=4,1,1,1,0.8773361119965557
9,ihs12,2020/11/28 09:33:02,right,es,NA,spider,4,2+7=6,0,0,1,2.1873530650045723
10,ihs12,2020/11/28 09:33:02,right,es,NA,"spider, mud",4,2+7=9,1,1,1,1.7333971949992701
11,ihs12,2020/11/28 09:33:02,right,es,NA,"spider, mud, head",4,2+8=10,1,1,1,3.0276873020047788
12,ihs12,2020/11/28 09:33:02,right,es,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,1.3337251970078796
13,ihs12,2020/11/28 09:33:02,right,es,NA,queen,4,3-1=2,1,1,1,0.5893691120145377
14,ihs12,2020/11/28 09:33:02,right,es,NA,"queen, flower",4,3+2=5,1,1,1,2.425955711019924
15,ihs12,2020/11/28 09:33:02,right,es,NA,"queen, flower, barber",4,3+6=8,0,0,1,1.9562821440049447
16,ihs12,2020/11/28 09:33:02,right,es,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,2.326953579002293
17,ihs12,2020/11/28 09:33:02,right,es,NA,book,4,4-3=2,0,0,1,1.0528707080229651
18,ihs12,2020/11/28 09:33:02,right,es,NA,"book, beans",4,4+5=9,1,1,1,1.1223299830162432
19,ihs12,2020/11/28 09:33:02,right,es,NA,"book, beans, chair",4,4+6=10,1,1,1,1.2714023669832386
20,ihs12,2020/11/28 09:33:02,right,es,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,5.957804260018747
21,ihs12,2020/11/28 09:33:02,right,es,NA,shovel,5,5-1=4,1,1,1,1.4360785360040609
22,ihs12,2020/11/28 09:33:02,right,es,NA,"shovel, port",5,5-2=3,1,1,1,0.8275028229982127
23,ihs12,2020/11/28 09:33:02,right,es,NA,"shovel, port, army",5,5+3=8,1,1,1,2.090806883003097
24,ihs12,2020/11/28 09:33:02,right,es,NA,"shovel, port, army, drill",5,5+3=9,0,0,1,3.347010391007643
25,ihs12,2020/11/28 09:33:02,right,es,NA,"shovel, port, army, drill, stone",5,5+8=15,0,0,1,4.5829762279754505
26,ihs12,2020/11/28 09:33:02,right,es,NA,puma,5,6-4=2,1,1,1,3.560301088000415
27,ihs12,2020/11/28 09:33:02,right,es,NA,"puma, lamp",5,6-4=3,0,0,1,1.3609306020080112
28,ihs12,2020/11/28 09:33:02,right,es,NA,"puma, lamp, farm",5,6+3=11,0,0,1,4.144530610006768
29,ihs12,2020/11/28 09:33:02,right,es,NA,"puma, lamp, farm, radar",5,6+3=8,0,0,1,4.148378746001981
30,ihs12,2020/11/28 09:33:02,right,es,NA,"puma, lamp, farm, radar, jury",5,7-5=4,0,0,1,5.977704621996963
31,ihs12,2020/11/28 09:33:02,right,es,NA,phone,5,7+2=10,0,0,1,2.872574070992414
32,ihs12,2020/11/28 09:33:02,right,es,NA,"phone, stocking",5,7+3=10,1,1,1,1.0817512210051063
33,ihs12,2020/11/28 09:33:02,right,es,NA,"phone, stocking, toe",5,8-4=4,1,1,1,2.2094888599822298
34,ihs12,2020/11/28 09:33:02,right,es,NA,"phone, stocking, toe, pea",5,8-5=2,0,0,1,4.989922626002226
35,ihs12,2020/11/28 09:33:02,right,es,NA,"phone, stocking, toe, pea, pencil",5,8-6=2,1,1,1,2.0121427290141582
36,ihs12,2020/11/28 09:33:02,right,es,NA,soldier,6,8+4=10,0,0,1,1.4077130620134994
37,ihs12,2020/11/28 09:33:02,right,es,NA,"soldier, cup",6,9-2=7,1,1,1,0.8060157900035847
38,ihs12,2020/11/28 09:33:02,right,es,NA,"soldier, cup, rain",6,9-2=8,0,0,1,2.7903374430024996
39,ihs12,2020/11/28 09:33:02,right,es,NA,"soldier, cup, rain, food",6,9-3=8,0,0,1,5.366569119010819
40,ihs12,2020/11/28 09:33:02,right,es,NA,"soldier, cup, rain, food, pilot",6,1+1=0,0,1,0,2.9178052799834404
41,ihs12,2020/11/28 09:33:02,right,es,NA,"soldier, cup, rain, food, pilot, pond",6,1+4=5,1,0,0,3.8868022930109873
42,ihs12,2020/11/28 09:33:02,right,es,NA,font,6,1+4=6,0,0,1,1.1023540959868114
43,ihs12,2020/11/28 09:33:02,right,es,NA,"font, bear",6,1+5=6,1,1,1,0.8273872190038674
44,ihs12,2020/11/28 09:33:02,right,es,NA,"font, bear, bus",6,10-2=8,1,1,1,3.2204907220148016
