,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ahs03,2020/11/12 19:53:22,right,es,NA,haircut,3,1+1=0,0,0,1,1.9154242549993796
1,ahs03,2020/11/12 19:53:22,right,es,NA,"haircut, time",3,1+4=5,1,1,1,0.8189229650015477
2,ahs03,2020/11/12 19:53:22,right,es,NA,"haircut, time, mug",3,1+4=6,0,0,1,1.0732809100009035
3,ahs03,2020/11/12 19:53:22,right,es,NA,lizard,3,1+5=6,1,1,1,0.8736147819981852
4,ahs03,2020/11/12 19:53:22,right,es,NA,"lizard, dad",3,10-2=8,1,1,1,0.9629850130004343
5,ahs03,2020/11/12 19:53:22,right,es,NA,"lizard, dad, glider",3,10-3=7,1,1,1,0.961598612000671
6,ahs03,2020/11/12 19:53:22,right,es,NA,couch,3,10-3=8,0,0,1,0.882360122002865
7,ahs03,2020/11/12 19:53:22,right,es,NA,"couch, trench",3,11-1=10,1,1,1,0.5987782970005355
8,ahs03,2020/11/12 19:53:22,right,es,NA,"couch, trench, atom",3,2+2=4,1,1,1,0.6485746440012008
9,ahs03,2020/11/12 19:53:22,right,es,NA,spider,4,2+7=6,0,0,1,1.2466025270005048
10,ahs03,2020/11/12 19:53:22,right,es,NA,"spider, mud",4,2+7=9,1,1,1,0.6556995160026418
11,ahs03,2020/11/12 19:53:22,right,es,NA,"spider, mud, head",4,2+8=10,1,1,1,0.8078084919980029
12,ahs03,2020/11/12 19:53:22,right,es,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,0.43538112900205306
13,ahs03,2020/11/12 19:53:22,right,es,NA,queen,4,3-1=2,1,1,1,0.981536581999535
14,ahs03,2020/11/12 19:53:22,right,es,NA,"queen, flower",4,3+2=5,1,1,1,1.6924293890006084
15,ahs03,2020/11/12 19:53:22,right,es,NA,"queen, flower, barber",4,3+6=8,0,0,1,1.0118928459996823
16,ahs03,2020/11/12 19:53:22,right,es,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,0.2626872299988463
17,ahs03,2020/11/12 19:53:22,right,es,NA,book,4,4-3=2,0,0,1,0.7525462100020377
18,ahs03,2020/11/12 19:53:22,right,es,NA,"book, beans",4,4+5=9,1,1,1,0.9786965730017982
19,ahs03,2020/11/12 19:53:22,right,es,NA,"book, beans, chair",4,4+6=10,1,1,1,1.4789697319974948
20,ahs03,2020/11/12 19:53:22,right,es,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,0.46717752200129326
21,ahs03,2020/11/12 19:53:22,right,es,NA,shovel,5,5-1=4,1,1,1,0.569620512000256
22,ahs03,2020/11/12 19:53:22,right,es,NA,"shovel, port",5,5-2=3,1,1,1,0.6284724120014289
23,ahs03,2020/11/12 19:53:22,right,es,NA,"shovel, port, army",5,5+3=8,1,1,1,2.0904828519996954
24,ahs03,2020/11/12 19:53:22,right,es,NA,"shovel, port, army, drill",5,5+3=9,0,0,1,0.8111173380020773
25,ahs03,2020/11/12 19:53:22,right,es,NA,"shovel, port, army, drill, stone",5,5+8=15,0,0,1,2.8847684239990485
26,ahs03,2020/11/12 19:53:22,right,es,NA,puma,5,6-4=2,1,1,1,0.4923244660021737
27,ahs03,2020/11/12 19:53:22,right,es,NA,"puma, lamp",5,6-4=3,0,0,1,1.006239148999157
28,ahs03,2020/11/12 19:53:22,right,es,NA,"puma, lamp, farm",5,6+3=11,0,0,1,2.028778070001863
29,ahs03,2020/11/12 19:53:22,right,es,NA,"puma, lamp, farm, radar",5,6+3=8,0,0,1,2.813602264999645
30,ahs03,2020/11/12 19:53:22,right,es,NA,"puma, lamp, farm, radar, jury",5,7-5=4,0,0,1,2.8718023100009304
31,ahs03,2020/11/12 19:53:22,right,es,NA,phone,5,7+2=10,0,0,1,1.0739879829998245
32,ahs03,2020/11/12 19:53:22,right,es,NA,"phone, stocking",5,7+3=10,1,1,1,0.8279689890005102
33,ahs03,2020/11/12 19:53:22,right,es,NA,"phone, stocking, toe",5,8-4=4,1,1,1,0.780244538000261
34,ahs03,2020/11/12 19:53:22,right,es,NA,"phone, stocking, toe, pea",5,8-5=2,0,0,1,1.0817139020000468
35,ahs03,2020/11/12 19:53:22,right,es,NA,"phone, stocking, toe, pea, pencil",5,8-6=2,1,1,1,0.5726263729993661
