,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ihs28,2020/12/06 18:24:24,right,es,NA,haircut,3,1+1=0,0,0,1,1.7013175639999645
1,ihs28,2020/12/06 18:24:24,right,es,NA,"haircut, time",3,1+4=5,1,0,0,2.8591094639998573
2,ihs28,2020/12/06 18:24:24,right,es,NA,"haircut, time, mug",3,1+4=6,0,0,1,2.630787387000055
3,ihs28,2020/12/06 18:24:24,right,es,NA,lizard,3,1+5=6,1,1,1,2.933322135000026
4,ihs28,2020/12/06 18:24:24,right,es,NA,"lizard, dad",3,10-2=8,1,1,1,1.7167225999999118
5,ihs28,2020/12/06 18:24:24,right,es,NA,"lizard, dad, glider",3,10-3=7,1,0,0,6.4685073699999975
6,ihs28,2020/12/06 18:24:24,right,es,NA,couch,3,10-3=8,0,0,1,1.4409062859999722
7,ihs28,2020/12/06 18:24:24,right,es,NA,"couch, trench",3,11-1=10,1,0,0,3.2855205399998795
8,ihs28,2020/12/06 18:24:24,right,es,NA,"couch, trench, atom",3,2+2=4,1,1,1,1.9784876740000072
9,ihs28,2020/12/06 18:24:24,right,es,NA,spider,4,2+7=6,0,0,1,1.3225147059999927
10,ihs28,2020/12/06 18:24:24,right,es,NA,"spider, mud",4,2+7=9,1,0,0,1.3420809659999122
11,ihs28,2020/12/06 18:24:24,right,es,NA,"spider, mud, head",4,2+8=10,1,1,1,2.0046960730001047
12,ihs28,2020/12/06 18:24:24,right,es,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,1.4642337249999855
13,ihs28,2020/12/06 18:24:24,right,es,NA,queen,4,3-1=2,1,1,1,1.1420317459999296
14,ihs28,2020/12/06 18:24:24,right,es,NA,"queen, flower",4,3+2=5,1,1,1,5.117466324999896
15,ihs28,2020/12/06 18:24:24,right,es,NA,"queen, flower, barber",4,3+6=8,0,0,1,1.9078695759999391
16,ihs28,2020/12/06 18:24:24,right,es,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,1.2581321419997948
17,ihs28,2020/12/06 18:24:24,right,es,NA,book,4,4-3=2,0,0,1,1.5665405740001006
18,ihs28,2020/12/06 18:24:24,right,es,NA,"book, beans",4,4+5=9,1,1,1,3.7331572839998444
19,ihs28,2020/12/06 18:24:24,right,es,NA,"book, beans, chair",4,4+6=10,1,1,1,4.217784797999684
20,ihs28,2020/12/06 18:24:24,right,es,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,1.9460047020002094
21,ihs28,2020/12/06 18:24:24,right,es,NA,shovel,5,5-1=4,1,0,0,3.2225673910002115
22,ihs28,2020/12/06 18:24:24,right,es,NA,"shovel, port",5,5-2=3,1,1,1,1.5837621269997726
23,ihs28,2020/12/06 18:24:24,right,es,NA,"shovel, port, army",5,5+3=8,1,0,0,5.09571401500034
24,ihs28,2020/12/06 18:24:24,right,es,NA,"shovel, port, army, drill",5,5+3=9,0,0,1,1.081612141000278
25,ihs28,2020/12/06 18:24:24,right,es,NA,"shovel, port, army, drill, stone",5,5+8=15,0,0,1,1.7756610450001062
26,ihs28,2020/12/06 18:24:24,right,es,NA,puma,5,6-4=2,1,1,1,0.8344752380003229
27,ihs28,2020/12/06 18:24:24,right,es,NA,"puma, lamp",5,6-4=3,0,0,1,1.7989015040002414
28,ihs28,2020/12/06 18:24:24,right,es,NA,"puma, lamp, farm",5,6+3=11,0,0,1,4.2708730129998
29,ihs28,2020/12/06 18:24:24,right,es,NA,"puma, lamp, farm, radar",5,6+3=8,0,0,1,6.758453084999928
30,ihs28,2020/12/06 18:24:24,right,es,NA,"puma, lamp, farm, radar, jury",5,7-5=4,0,0,1,1.3142016100000546
31,ihs28,2020/12/06 18:24:24,right,es,NA,phone,5,7+2=10,0,0,1,1.596268667000004
32,ihs28,2020/12/06 18:24:24,right,es,NA,"phone, stocking",5,7+3=10,1,0,0,1.370532221999838
33,ihs28,2020/12/06 18:24:24,right,es,NA,"phone, stocking, toe",5,8-4=4,1,1,1,1.628169089000039
34,ihs28,2020/12/06 18:24:24,right,es,NA,"phone, stocking, toe, pea",5,8-5=2,0,0,1,1.5984266089999437
35,ihs28,2020/12/06 18:24:24,right,es,NA,"phone, stocking, toe, pea, pencil",5,8-6=2,1,1,1,1.6289485090001108
