,subject_id,date,handedness,lang,trial_num,sequence,seq_length,formula,correct_resp,subj_form_resp,accuracy_formula,rt_formula
0,ihs10,2020/11/18 11:10:55,right,es,NA,haircut,3,1+1=0,0,0,1,2.0144005869951798
1,ihs10,2020/11/18 11:10:55,right,es,NA,"haircut, time",3,1+4=5,1,1,1,0.873959715005185
2,ihs10,2020/11/18 11:10:55,right,es,NA,"haircut, time, mug",3,1+4=6,0,0,1,3.3818634749986813
3,ihs10,2020/11/18 11:10:55,right,es,NA,lizard,3,1+5=6,1,1,1,0.9745657209932688
4,ihs10,2020/11/18 11:10:55,right,es,NA,"lizard, dad",3,10-2=8,1,1,1,0.7310084980053944
5,ihs10,2020/11/18 11:10:55,right,es,NA,"lizard, dad, glider",3,10-3=7,1,1,1,1.26607596300164
6,ihs10,2020/11/18 11:10:55,right,es,NA,couch,3,10-3=8,0,0,1,0.9428365780040622
7,ihs10,2020/11/18 11:10:55,right,es,NA,"couch, trench",3,11-1=10,1,1,1,0.7124455629964359
8,ihs10,2020/11/18 11:10:55,right,es,NA,"couch, trench, atom",3,2+2=4,1,1,1,1.7816470440011472
9,ihs10,2020/11/18 11:10:55,right,es,NA,spider,4,2+7=6,0,0,1,1.50526658599847
10,ihs10,2020/11/18 11:10:55,right,es,NA,"spider, mud",4,2+7=9,1,1,1,0.8861999930013553
11,ihs10,2020/11/18 11:10:55,right,es,NA,"spider, mud, head",4,2+8=10,1,1,1,0.5281692360003944
12,ihs10,2020/11/18 11:10:55,right,es,NA,"spider, mud, head, throne",4,20-5=15,1,1,1,0.7824207079975167
13,ihs10,2020/11/18 11:10:55,right,es,NA,queen,4,3-1=2,1,1,1,1.2431750039977487
14,ihs10,2020/11/18 11:10:55,right,es,NA,"queen, flower",4,3+2=5,1,1,1,0.6937647590020788
15,ihs10,2020/11/18 11:10:55,right,es,NA,"queen, flower, barber",4,3+6=8,0,0,1,2.173814781999681
16,ihs10,2020/11/18 11:10:55,right,es,NA,"queen, flower, barber, school",4,3+7=10,1,1,1,1.777523436001502
17,ihs10,2020/11/18 11:10:55,right,es,NA,book,4,4-3=2,0,0,1,1.5321540189979714
18,ihs10,2020/11/18 11:10:55,right,es,NA,"book, beans",4,4+5=9,1,1,1,2.42302077000204
19,ihs10,2020/11/18 11:10:55,right,es,NA,"book, beans, chair",4,4+6=10,1,1,1,1.5525010070050485
20,ihs10,2020/11/18 11:10:55,right,es,NA,"book, beans, chair, measure",4,4+7=11,1,1,1,4.330940781001118
21,ihs10,2020/11/18 11:10:55,right,es,NA,shovel,5,5-1=4,1,1,1,1.123564729001373
22,ihs10,2020/11/18 11:10:55,right,es,NA,"shovel, port",5,5-2=3,1,1,1,0.8709894909989089
23,ihs10,2020/11/18 11:10:55,right,es,NA,"shovel, port, army",5,5+3=8,1,1,1,2.620171094997204
